[2026-09-24 | 20:45:01] INFO     [scrapers.tvf90] URL 35) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:01] INFO     [scrapers.streamcenter] URL 23) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:01] INFO     [scrapers.tvf90] URL 36) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:01] INFO     [scrapers.watchfooty] URL 2) Captured M3U8                                                   (webwork.py:307)
[2026-09-24 | 20:45:01] INFO     [scrapers.webcast] URL 15) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:01] INFO     [scrapers.tvf90] URL 37) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:02] INFO     [scrapers.streamcenter] URL 24) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:02] INFO     [scrapers.tvf90] URL 38) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:02] INFO     [scrapers.streamcenter] URL 25) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:02] INFO     [scrapers.webcast] URL 16) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:02] INFO     [scrapers.tvf90] URL 39) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:03] INFO     [scrapers.tvf90] URL 40) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:03] INFO     [scrapers.streamcenter] URL 26) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:03] INFO     [scrapers.tvf90] URL 41) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:03] INFO     [scrapers.webcast] URL 17) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:03] INFO     [scrapers.streamcenter] URL 27) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:03] INFO     [scrapers.tvf90] URL 42) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:04] INFO     [scrapers.tvf90] URL 43) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:04] INFO     [scrapers.streamcenter] URL 28) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:04] INFO     [scrapers.tvf90] URL 44) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:04] INFO     [scrapers.webcast] URL 18) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:04] INFO     [scrapers.tvf90] URL 45) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:04] INFO     [scrapers.streamcenter] URL 29) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:05] INFO     [scrapers.watchfooty] URL 3) Captured M3U8                                                   (webwork.py:307)
[2026-09-24 | 20:45:05] INFO     [scrapers.tvf90] URL 46) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:05] INFO     [scrapers.streamcenter] URL 30) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:05] INFO     [scrapers.webcast] URL 19) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:05] INFO     [scrapers.tvf90] URL 47) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:06] INFO     [scrapers.streamcenter] URL 31) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:06] INFO     [scrapers.tvf90] URL 48) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:06] INFO     [scrapers.tvf90] URL 49) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:06] INFO     [scrapers.streamcenter] URL 32) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:06] INFO     [scrapers.webcast] URL 20) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:06] INFO     [scrapers.tvf90] URL 50) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:07] INFO     [scrapers.streamcenter] URL 33) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:07] INFO     [scrapers.tvf90] URL 51) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:07] INFO     [scrapers.tvf90] URL 52) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:07] INFO     [scrapers.webcast] URL 21) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:07] INFO     [scrapers.streamcenter] URL 34) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:07] INFO     [scrapers.tvf90] URL 53) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:08] INFO     [scrapers.streamcenter] URL 35) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:08] INFO     [scrapers.tvf90] URL 54) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:08] INFO     [scrapers.webcast] URL 22) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:08] INFO     [scrapers.tvf90] URL 55) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:08] INFO     [scrapers.streamcenter] URL 36) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:09] INFO     [scrapers.tvf90] URL 56) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:09] INFO     [scrapers.streamcenter] URL 37) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:09] INFO     [scrapers.tvf90] URL 57) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:09] INFO     [scrapers.webcast] URL 23) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:09] INFO     [scrapers.watchfooty] URL 4) Captured M3U8                                                   (webwork.py:307)
[2026-09-24 | 20:45:09] INFO     [scrapers.watchfooty] Collected and cached 4 new event(s)                                    (watchfooty.py:207)
[2026-09-24 | 20:45:09] INFO     [scrapers.tvf90] URL 58) Captured M3U8                                                  (tvf90.py:58)
